Stadium Name;From;To;City;State;Primary Team(s)
League Park;1920;1922;Akron;OH;Akron Pros
Lincoln Park;1922;1922;Marion;OH;Oorang Indians
Swayne Field;1922;1922;Toledo;OH;Toledo Maroons
Bosse Field;1921;1921;Evansville;IN;
Canisius Field;1920;1921;Buffalo;NY;
Eclipse Park;1921;1921;Louisville;KY;
Rochester Baseball Park;1920;1921;Rochester;NY;
Staley Field;1920;1921;Decatur;IL;
Walnut Street Park;1921;1921;Muncie;IN;
Boulevard Field;1920;1920;Richmond;VA;
Kishwaukee Park;1920;1920;Rockford;IL;
League Park;1920;1920;Fort Wayne;IN;
Logan Square Park;1920;1920;Chicago;IL;
Lorain Athletic Field;1920;1920;Lorain;OH;
Mack Park;1920;1920;Detroit;MI;
Mark Athletic Field;1920;1920;Zanesville;OH;
McKinley Field;1920;1920;Champaign;IL;
Monmouth College Athletic Park;1920;1920;Monmouth;IL;
Pullman Athletic Field;1920;1920;Chicago;IL;
Pyott's Park;1920;1920;Chicago;IL;
St. Rita's Stadium;1920;1920;Chicago;IL;
Weiss Field;1920;1920;New Haven;CT;
Aloha Stadium;;;Honolulu;HI;
IG Field;;;Winnipeg;MB;
